Contracting (Egypt-KSA-Global),,,
,action_id,action_name,action_wait
Edit,8,Check Booking Errors Report,0.0417
Edit,9,Create Contract,0.0625
Edit,10,Create offer or Supplement or restriction,0.020833
Edit,11,Activate on How to work 1,0.020833
Edit,12,Review contracts,0.0625
Edit,13,Weekly or Monthly Production report,0.041666
Edit,14,Daily reports,0.020833
Edit,15,L2B report,0.0625
Edit,16,JP code,0.010416
Edit,17,Template,0.020833
Edit,18,Mapping,0.0625
Edit,19,Create New Customer,0.041666
Edit,20,Stop products/Return Product,0.010417
Edit,21,Increase credit,0.020833
Edit,22,extend contract,0.041666
Edit,23,update cancellation,0.020833
Edit,24,Return Product,0.020833
Edit,25,Active hotels report,0.041667
Edit,26,Upload contract (uploading rates & availability),0.25
Edit,27,Send email,0.010417
Edit,28,adding new occupency /Board type,0.020833
Edit,29,test booking,0.020833
Edit,30,Special Action,0
Edit,31,create/Modify Room,0.010416
Edit,32,Stop Sale,0.010416
Edit,33,Booking error review,0.020833
Edit,34,Hilton offers review,0.0417
Edit,35,Training (Employees),0.125
Edit,36,review booking data,0.020833
Edit,37,Update hotel Special Markup,0.010416
Edit,38,review offer/supplement,0.020833
Edit,39,Update Customer,0.010417
Edit,40,B2B2C Report,0.020833
Edit,41,Daily Materlization Reports,0.020833
Edit,42,All Departments & suppliers number of booking report,0.020833
Edit,43,Weekly Materlization Reports,0.020833
Edit,44,Lost Bookings weekly,0.020833
Edit,45,Upload Supplier Template,0.020833
Edit,46,Upload Customer Template,0.020833
Edit,47,Create Supplier Template,0.125
Edit,48,Create Customer Template,0.125
Edit,49,Suppliers Comparison,0.03125
Edit,50,"Chain Comparison (B2B, B2C, Website)",0.010416
Edit,51,Update Customer Contract,0.020833
Edit,52,Mapping/inquires from destinations,0.010416
Edit,53,Mapping of the third party suppliers,0.010416
Edit,54,Customer/Supplier Reports/Optimizing the customers,0.125
Edit,55,Mapping of the chain Hotels,0.03125
Edit,56,Data transfer report,0.0625
Edit,57,Emails /other tasks,0
Edit,58,Training,0.125
Edit,59,any report,0.0625
Edit,60,hotel creation,0.05
Edit,61,Price Change audit,0.0417
Edit,62,Statistics real-time report,0.0625
Edit,63,Statistics History report,0.0625
Edit,64,Hotels database weekly audit,0.0625
Edit,65,Agencies with Zero production Report,0.0625
Edit,66,Direct Connectivity hotels with Zero availability,0.03125
Edit,67,Cancelled Booked Report,0.0625
Edit,68,Check Dummy rates,0.020833
Edit,69,Top Hotels JPCode report,0.03125
Edit,70,Hotels with high search and Zero bookings,0.03125
Edit,71,Customer_Hotels Productions,0.03125
Edit,72,Customers_Area L2B,0.03125
Edit,73,Customers_Hotel L2B,0.03125
Edit,74,Add Special Note,0.020833
Edit,75,Upload Hotel photos,0.020833
Edit,76,Hotel Profile Updates,0.020833
,,,
,,,
,,,
,,,
,,,
,,,
Accounting,,,
,,,
,action_id,action_name,action_wait
Edit,2,End,0
Edit,3,Creat manual Vcc,0.008333
Edit,4,Review & Manage the Credit & Billing limits for all customers,0.025
Edit,5,Create Invoices for the pervious day,0.0001
Edit,6,"Allocate Payment ""Online""",0.01
Edit,7,Alert the exceeded credit customers,0
Edit,8,Follow up collection(Call reminder emails to delayed customers ( delay )),0.0001
Edit,9,Booking Adjustment,0.005
Edit,10,(Cash Situation)Review the booking and collect the cash & update the Online accordingly (Cash Situation),0.25
Edit,11,VAT Invoices VAT Invoices Out Side Dubai,0.01
Edit,12,Mail Handling,0.0001
Edit,13,Unexpected Issue,0
Edit,14,VAT Invoices Inside Dubai (Issue VAT Invoices (XCL) to send to the customers inside Dubai),0.01
Edit,15,VAT Invoices Inside Dubai (Review & Sign VAT Invoices),0.004
Edit,16,VAT Invoices Inside Dubai (Scan VAT Invoices),0.002
Edit,17,PDF Invoices All,0.002
Edit,18,Send SOA (arrange statements to customers),0.01
Edit,20,Transfer from Online to Hisoft (Arrange the transfer sheets),0.03
Edit,21,Transfer from Online to Hisoft (Review the transfer sheets),0.01
Edit,23,Send SOA (Send the monthly statements to all the customers),0.01
Edit,24,Monthly Closing(Customers ledgers closing),0.02
Edit,27,Transfer from Online to Hisoft(Complete the last step and ensure that all the transaction is already transferred),0.02
Edit,28,Balance Confirmation (Send balance confirmation to all the credit customers),0.0001
Edit,29,Override Commission(Calculate the ORC for each customer who applied),0.02
Edit,30,Closing(Reviewing and compare customer ledger between online & Hisoft ),0.02
Edit,31,Closing(Prepare separate Customer Aging according to bank collection),0.0063
Edit,33,E Nett entries (Filtering excel sheets to show bookings related to destination only & Making Journal entries For Online and Hi Soft ),0.001
Edit,34,Contracts Approval(Reading The Contract Carfully Ensure That The Excell Sheet Is Matching ),0.05
Edit,35,Creat manual Vcc(Creat Cash & Credit Vcc ),0.008333
Edit,36,Online banking process(Making online transactions),0.001
Edit,37,Bank entries(Journal Entry For Trasactions ),0.01
Edit,38,Generic Booking,0.01
Edit,39,Handlin E- Mails,0.0001
Edit,40,handling issues over Phone,0.0001
Edit,41,Credit Hotels ( payment ),0.03
Edit,42,Cash Hotels ( closing ),0.03
Edit,43,VAT Reports,0.05
Edit,44,Discount and add tax,0.05
Edit,45,Credit cards (compairing with Hi soft & processing the Journal entries ),0.05
Edit,46,Cost(Making accrual Journal entries for monthly Expences),0.25
Edit,47,closing(preparing Supplier aging analysis ),0.05
Edit,48,closing(preparing cost analysis ),0.125
Edit,49,closing(preparing accrouad analysis),0.125
Edit,50,closing(preparing balance sheet analysis),0.125
Edit,51,arrange situation sheet,0.125
